iter	Passed	Remaining
0	1	107
1	2	107
2	3	100
3	3	92
4	4	91
5	5	89
6	6	87
7	7	85
8	8	83
9	9	81
10	9	79
11	10	78
12	11	77
13	12	76
14	13	75
15	14	74
16	14	73
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	26	60
30	26	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	48
42	36	48
43	36	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	49	43
53	50	42
54	51	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	74	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	80	8
91	81	7
92	82	6
93	83	5
94	84	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
